Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.7839599689658807,1.4448242843151093,34.938,48.24,26.71737504005432
2,1.462785965325881,1.2767609536647797,46.772,54.9,26.378204822540283
3,1.3368739376262742,1.1755393743515015,51.8,58.73,26.448886156082153
4,1.2444247992671267,1.075266346335411,55.62,62.3,26.385533571243286
5,1.1871606549438165,1.0349496364593507,57.536,63.37,26.445200204849243
6,1.1300565235468807,1.0083949565887451,59.858,64.91,26.453502416610718
7,1.0934157675626326,0.9662423938512802,61.206,66.34,26.4281108379364
8,1.0652990341186523,0.9306816786527634,62.312,66.83,26.423505067825317
9,1.0363504193267044,0.898580014705658,63.096,68.58,26.527315616607666
10,1.0048662369348564,0.8736804634332657,64.424,70.03,26.746280431747437
11,0.9884199086500673,0.8677789568901062,64.956,69.41,26.554104804992676
12,0.9699601786477225,0.8348273068666459,65.752,71.24,26.46813440322876
13,0.9585417369190528,0.8247859209775925,65.928,71.08,26.520193576812744
14,0.9377006170701008,0.8144738078117371,66.838,71.78,26.624606609344482
15,0.9256766724343203,0.8255170077085495,67.288,71.52,26.593689441680908
16,0.9093485444175954,0.7836820900440216,67.872,72.67,26.726004123687744
17,0.8970927681241717,0.7875991642475129,68.4,72.67,26.662018060684204
18,0.8855459665765568,0.7632309705018997,68.698,73.63,26.678838968276978
19,0.8757926177005378,0.7567017585039139,69.09,73.78,26.62525224685669
20,0.8662786593242567,0.7697600901126862,69.446,73.2,26.89186120033264
