Epoch,Test Acc Mean,Test Acc Std
1,47.916,0.3515451606835167
2,54.826,0.8045023306367726
3,58.870000000000005,0.5323532661682486
4,61.767999999999994,0.8077474852947536
5,63.94200000000001,0.6121895131411537
6,65.936,0.7694829432807491
7,67.154,0.9520420158795531
8,67.432,0.9745029502264214
9,68.71400000000001,0.8673315398392926
10,69.402,1.251453554871295
11,70.06,0.41371487766335213
12,70.98400000000001,0.6542965688432099
13,71.378,0.589861000575558
14,71.998,0.7131451465164704
15,72.324,0.8987457927578851
16,72.756,1.0328523611823697
17,72.946,0.7131507554507664
18,73.506,1.1098576485297547
19,73.78,0.46324939287601813
20,73.774,0.6931262511260126
