Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.7742823447499956,1.4504258394241334,35.116,47.39,35.583739280700684
2,1.471364752370484,1.296670401096344,46.884,53.6,35.759724855422974
3,1.3479652818368406,1.184894573688507,51.502,58.29,35.9149808883667
4,1.255212634193654,1.1084314048290254,54.956,60.59,36.143606185913086
5,1.194163403948959,1.009579175710678,57.242,65.06,35.992432832717896
6,1.1414426334050236,1.0015388429164886,59.328,64.86,35.88410019874573
7,1.0935080148735825,0.9313928961753846,60.974,68.0,35.85783267021179
8,1.0622720012859421,0.9209226250648499,62.232,68.06,35.93324136734009
9,1.031651374636864,0.8848770439624787,63.396,69.47,35.980687618255615
10,1.0062003196502218,0.8595774590969085,64.188,70.45,35.79395842552185
11,0.978869407152643,0.8498645663261414,65.3,70.53,35.763893127441406
12,0.9627634785613235,0.8501478642225265,65.884,70.32,35.678502798080444
13,0.9427548841554292,0.8133438408374787,66.55,71.94,35.77424430847168
14,0.9206324164964714,0.8104744672775268,67.514,71.81,35.934305906295776
15,0.913166231038619,0.7883358657360077,67.672,72.66,35.43285083770752
16,0.888633241458815,0.7728553056716919,68.53,73.39,35.57079863548279
17,0.8822155126503536,0.7598701685667038,68.814,73.99,35.581695556640625
18,0.8670782373875988,0.7728266298770905,69.054,72.99,35.50152587890625
19,0.8604291628818123,0.760696291923523,69.67,73.61,35.66299510002136
20,0.845637708902359,0.7402198433876037,70.172,74.7,35.59851932525635
