Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.310103961399624,3.8981348276138306,5.19,11.29,31.224732160568237
2,3.8528846380661945,3.5726961851119996,10.726,17.08,31.01643657684326
3,3.616803738535667,3.3306599855422974,14.664,21.44,30.81177067756653
4,3.4470950048796984,3.193565773963928,17.418,23.63,30.902984857559204
5,3.3272278211554704,3.0582243680953978,19.532,25.62,31.113378286361694
6,3.230737783470932,2.973863387107849,21.276,27.35,31.54019570350647
7,3.149369497688449,2.889996075630188,22.986,28.69,31.289759397506714
8,3.08874689316263,2.8140003442764283,23.89,30.48,30.5901358127594
9,3.033590185398958,2.762177658081055,25.016,31.7,30.84617018699646
10,2.9823652286918794,2.7095022201538086,26.022,31.98,31.281001329421997
11,2.9346183952020137,2.652301478385925,27.094,33.46,30.761073112487793
12,2.881991615100783,2.608803725242615,27.832,34.18,31.062946557998657
13,2.8465683411578744,2.5698060035705566,28.842,35.09,30.733280897140503
14,2.834717020696523,2.5404770135879517,28.74,35.81,31.24031901359558
15,2.797465129774444,2.5462666749954224,29.49,35.68,30.547231197357178
16,2.763949000105566,2.4973791360855104,30.372,36.52,31.144643306732178
17,2.7461648814532222,2.465136694908142,30.538,37.5,31.16283369064331
18,2.7193083617152,2.44904625415802,30.888,37.72,31.29160451889038
19,2.699298153118211,2.4344647884368897,31.636,38.04,31.107370615005493
20,2.6762960832946154,2.4148048400878905,31.866,38.32,31.626879692077637
