Epoch,Test Acc Mean,Test Acc Std
1,5.212000000000001,0.6841754161032095
2,9.958000000000002,0.5171614834846074
3,13.056000000000001,0.5830128643520659
4,15.01,0.2750272713750401
5,17.628,0.43796803536331297
6,19.310000000000002,0.2835489375751566
7,20.797999999999995,0.49158519098931375
8,22.654000000000003,0.4529724053405461
9,23.822,0.5721328517049159
10,25.299999999999997,0.6800882295702527
11,26.387999999999998,0.6730646328548253
12,27.615999999999996,0.7468761610869636
13,28.676,0.5904100270151244
14,29.375999999999998,0.6781622224807277
15,30.677999999999997,0.5809096315262818
16,31.548000000000002,0.6275476077557773
17,32.391999999999996,0.5895218401382581
18,33.236000000000004,0.5537002799349121
19,34.007999999999996,0.6418535658543925
20,34.76,0.643397233441363
