Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.110834821146362,3.635413920879364,7.25,14.95,32.43172883987427
2,3.6001979197774614,3.265429526567459,14.62,21.18,31.941081285476685
3,3.3457166941798464,3.016271197795868,18.936,26.28,31.94662070274353
4,3.169827944161941,2.832193523645401,22.056,29.26,31.820873975753784
5,3.052469083241054,2.733584129810333,24.258,30.9,32.054946184158325
6,2.951637704761661,2.6731389820575715,26.01,32.05,31.73525357246399
7,2.890187763437933,2.614376199245453,27.354,33.6,31.764723539352417
8,2.851094564613031,2.5233201503753664,28.042,34.7,31.944607257843018
9,2.793309215380221,2.528273791074753,29.078,35.24,32.05901098251343
10,2.7550575051988875,2.4617064595222473,30.084,36.23,32.5998637676239
11,2.7261349680472393,2.435960668325424,30.488,37.36,32.12765026092529
12,2.7162430529691735,2.394970381259918,30.782,38.05,31.901721000671387
13,2.6840153117569123,2.397999459505081,31.722,37.56,31.976560592651367
14,2.676841729757737,2.4120234489440917,31.388,37.26,31.945022344589233
15,2.6660758536689135,2.382666701078415,31.808,37.73,32.02332282066345
16,2.6480762557107576,2.387353724241257,32.172,37.41,32.09261083602905
17,2.6263413927993,2.305106449127197,32.726,39.13,31.98467493057251
18,2.606454901549281,2.3314638257026674,32.796,39.02,31.96331000328064
19,2.6149864379240544,2.323552393913269,32.718,39.29,31.976539850234985
20,2.6024692277519073,2.326271104812622,33.062,39.21,32.45175647735596
