Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,3.768136309117687,3.409713387489319,12.71,18.93,36.38898491859436
2,3.1812029420113075,3.019626998901367,21.802,25.95,36.43770432472229
3,2.8821924851865184,2.8550163388252257,27.256,28.29,36.64046025276184
4,2.658089267964266,2.6995576143264772,31.658,31.85,36.590511322021484
5,2.4832017397393984,2.51274174451828,35.228,35.71,36.92564940452576
6,2.3386128629956926,2.457483184337616,38.272,36.69,36.76086974143982
7,2.222023689017004,2.396034467220306,40.928,38.73,37.47753691673279
8,2.1204531484720657,2.2644124031066895,42.928,41.16,37.052825927734375
9,2.024303905817927,2.2866755962371825,45.136,41.14,37.23798489570618
10,1.933274280051796,2.229129195213318,47.146,42.98,37.50407862663269
11,1.850728418145861,2.225895893573761,49.21,42.47,36.97362446784973
12,1.7752169334158605,2.1717334568500517,50.732,44.28,37.53886938095093
13,1.7050572001204198,2.134479373693466,52.35,44.94,37.606364250183105
14,1.64444330882053,2.088285046815872,53.934,45.94,37.748613357543945
15,1.5561907936115653,2.0858909666538237,55.96,46.93,37.80915641784668
16,1.495245140426013,2.1019922733306884,57.57,47.05,37.46754550933838
17,1.4305008065943816,2.0772097945213317,59.082,47.97,37.09679317474365
18,1.3749379454826822,2.0668747544288637,60.268,48.26,36.62909555435181
19,1.3094321246049843,2.0938533544540405,61.91,48.38,36.43967533111572
20,1.2463309935161047,2.1401048362255097,63.406,47.98,36.16294527053833
