Epoch,Test Acc Mean,Test Acc Std
1,13.132,0.47199152534764904
2,19.776000000000003,0.6120653559874141
3,24.34,0.7407563702054812
4,27.318,0.9841422661383867
5,29.318,0.9698948396604665
6,31.368000000000002,0.9663001604056584
7,33.078,1.0477289725878527
8,33.786,0.8913495386210735
9,35.15,1.0561628662284999
10,36.025999999999996,0.6754435579676509
11,36.67,0.7392158006969285
12,37.326,0.47873165761207104
13,37.878,0.5718881009428326
14,38.222,0.5371554709765128
15,38.629999999999995,0.7007995433788472
16,38.879999999999995,0.46277424301704606
17,39.483999999999995,0.6766564859661053
18,39.684000000000005,0.4934612446788495
19,40.32000000000001,0.39349714103154615
20,40.076,0.5049197956111436
