Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.182642491496339,3.730282890796661,6.54,13.44,29.916728734970093
2,3.653287014182733,3.3020504236221315,14.34,21.13,29.704286098480225
3,3.3595669269561768,3.0279152274131773,18.98,25.49,29.502595901489258
4,3.176801100069163,2.878498685359955,22.5,28.53,29.470235109329224
5,3.0447208954363454,2.751066470146179,24.8,31.11,29.66298270225525
6,2.9381841226499907,2.6346872448921204,26.91,33.86,29.446335315704346
7,2.8454347143367844,2.5272650003433226,28.802,35.52,29.492303609848022
8,2.760473348656479,2.4532760262489317,30.364,37.43,29.674521923065186
9,2.7045623088369566,2.419034457206726,31.33,37.48,29.767427682876587
10,2.6509379975649776,2.3774862766265867,32.422,38.77,30.18102264404297
11,2.611172058144394,2.355819046497345,33.29,38.57,30.170461416244507
12,2.558570097903816,2.313490700721741,34.252,39.65,29.731921911239624
13,2.5284509731798757,2.260949730873108,34.888,41.57,29.64155101776123
14,2.4961695038542455,2.245438015460968,35.54,41.16,29.754353284835815
15,2.471977238752404,2.233743596076965,35.914,41.43,29.491151809692383
16,2.4503072743513146,2.2066575050354005,36.618,42.15,29.594168424606323
17,2.4276617570799224,2.158888131380081,36.972,42.84,29.4964759349823
18,2.416561102380558,2.1789699256420136,37.118,42.98,29.49634099006653
19,2.3958025124608255,2.145935535430908,37.68,43.02,29.664974689483643
20,2.3887195635815055,2.153405797481537,37.748,43.29,30.13977360725403
