Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.220446328727567,3.7363104581832887,6.064,13.52,29.94591736793518
2,3.7124614910203584,3.378525161743164,12.99,19.95,29.693041563034058
3,3.447525683714419,3.1553701877593996,17.662,24.06,29.347703456878662
4,3.2668209805780526,2.9432238340377808,20.582,27.76,29.46139645576477
5,3.1372542356958193,2.858028566837311,22.876,29.06,29.65541410446167
6,3.0402311329938927,2.7430885195732118,24.552,31.36,29.543275594711304
7,2.9612855254387367,2.6406131863594053,25.888,33.14,29.468356132507324
8,2.876094949488737,2.62255175113678,27.716,33.24,29.524569272994995
9,2.842657767996496,2.5432735443115235,28.298,34.81,29.661410570144653
10,2.7822930204625034,2.4795435667037964,29.54,36.43,30.27625322341919
11,2.7448012488228932,2.447956621646881,30.354,36.92,30.000437259674072
12,2.7083164891418146,2.4249714374542237,30.666,37.49,29.534516096115112
13,2.6781560085257707,2.3960429549217226,31.502,37.88,29.49903392791748
14,2.6426400116511752,2.3652791500091555,32.376,38.75,29.764381885528564
15,2.6211020119336186,2.3469732761383058,32.898,38.88,29.48793387413025
16,2.6032872905536575,2.3428347587585447,32.978,38.9,29.496002674102783
17,2.5789159341734282,2.300005578994751,33.678,39.84,29.424657106399536
18,2.563634599958147,2.3027719378471376,33.794,40.26,29.3747501373291
19,2.5460431356819306,2.2793781042098997,34.21,40.46,29.41944932937622
20,2.5311140016633638,2.2756826281547546,34.744,40.65,30.04263997077942
