Epoch,Test Acc Mean,Test Acc Std
1,13.329999999999998,0.32174524083504324
2,20.404,0.5971800398539785
3,24.56,1.0597169433391167
4,27.884000000000004,0.9651031033003676
5,30.046000000000003,1.140256111581955
6,32.062,1.3079816512474478
7,34.09,1.0875477001033111
8,35.146,1.5811084719272108
9,36.086,1.3819638200763433
10,37.036,1.2885588849563694
11,37.657999999999994,1.0885660292329546
12,38.44,1.0244022647378321
13,39.138,1.5486691060391176
14,39.352,1.2173972235880928
15,39.672000000000004,1.3701883082262813
16,40.382000000000005,1.2837663338785605
17,40.81,1.1881077392223325
18,41.086,1.1162723681969366
19,41.10600000000001,1.03238752414004
20,41.498,1.2034849396648055
