Epoch,Test Acc Mean,Test Acc Std
1,5.258,0.4780962246242902
2,9.778,0.2618701968533262
3,13.34,0.393801980695882
4,15.838,0.4232918614856663
5,17.07,0.4518406798861743
6,19.029999999999994,0.5468089245796933
7,20.461999999999996,0.5177798760091018
8,22.734,0.8443837989919041
9,23.792,0.9346956723982411
10,25.259999999999998,0.5802413291036758
11,26.524,0.6189862680221594
12,27.759999999999998,0.5454539393936025
13,28.552,0.7535887472620587
14,29.512,0.39372071319655005
15,30.462,0.718203313832511
16,31.512,0.5390139144771681
17,32.224000000000004,0.6061220999105701
18,32.992,0.7272523633512634
19,33.733999999999995,0.4960080644505697
20,34.632,0.6639698788348758
