Epoch,Test Acc Mean,Test Acc Std
1,1.418,0.18486752013266147
2,1.8780000000000001,0.3173263304549436
3,2.73,0.37336309405188933
4,3.168,0.516890704114516
5,3.682,0.48014164576716317
6,4.714,0.3656555756446222
7,5.851999999999999,0.35706582026287553
8,6.648000000000001,0.5328564534656591
9,7.498,0.6474380279223644
10,8.186,0.4456276472572144
11,8.992,0.35033698063436014
12,9.594,0.23862941981239455
13,10.190000000000001,0.22289010745208096
14,10.856,0.20214846029589253
15,11.302,0.3189608126400483
16,11.724,0.3472520698282448
17,12.096,0.11482160075525898
18,12.565999999999999,0.33404191353780716
19,12.724,0.19074590428106217
20,13.166,0.22339203208709107
