Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.79976288396485,1.48732470870018,34.61,46.08,29.88682270050049
2,1.4779221719625044,1.3061567485332488,46.444,52.72,29.626898288726807
3,1.3561909271746266,1.2101265072822571,51.09,56.4,29.582899808883667
4,1.2655912248455747,1.0891908288002015,54.4,61.36,29.535189151763916
5,1.1884692493750124,1.0671262830495833,57.362,62.69,29.51957941055298
6,1.1384249937777617,0.987067025899887,59.32,65.41,29.373103618621826
7,1.0930612129824502,0.9322979152202606,60.898,67.48,29.408453702926636
8,1.0658787786960602,0.909148445725441,62.152,68.51,29.401565313339233
9,1.0289859832549582,0.8942493736743927,63.516,69.46,29.479631900787354
10,1.0093587205118062,0.869912925362587,64.402,70.02,29.9652042388916
11,0.9864293932914734,0.8774083286523819,65.12,69.68,29.62715196609497
12,0.969934703135977,0.8378335535526276,65.584,70.87,29.45638871192932
13,0.952246891600745,0.8053503155708313,66.344,71.85,29.485053062438965
14,0.9355871221240686,0.8286286979913712,66.868,70.91,29.392284870147705
15,0.9227886260772238,0.7895026326179504,67.43,72.41,29.443376541137695
16,0.9100558076586042,0.7897701680660247,67.942,72.88,29.378610849380493
17,0.8857829759315569,0.774492335319519,68.904,73.13,29.561946868896484
18,0.8857689110600219,0.7732577323913574,68.768,73.32,29.375797033309937
19,0.8748274828706469,0.7673398971557617,69.1,73.49,29.645326375961304
20,0.8619734857763562,0.7560975015163421,69.78,73.96,29.71924877166748
