Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.603317562414675,4.596558618545532,1.142,1.22,29.74646520614624
2,4.5934818569494755,4.585052943229675,1.476,1.98,29.38590979576111
3,4.580703034692881,4.568246936798095,1.94,2.56,29.19372034072876
4,4.561030660356794,4.5423171043396,2.382,3.47,29.151012182235718
5,4.529959065573556,4.498937249183655,3.088,3.94,29.383875608444214
6,4.48156105255594,4.4326142311096195,3.508,4.64,29.10122513771057
7,4.414215715564027,4.347749400138855,4.064,5.19,29.203340530395508
8,4.340715296414434,4.2629989862442015,4.818,6.18,29.369207859039307
9,4.270814545300542,4.183997106552124,5.424,6.97,29.333407402038574
10,4.211688610972191,4.118983244895935,5.98,7.66,29.753081560134888
11,4.15945586866262,4.063666248321534,6.772,9.21,29.659826517105103
12,4.116762565106762,4.017820167541504,7.136,9.69,29.08055591583252
13,4.077223062515259,3.9767149925231933,7.94,10.41,29.19078540802002
14,4.043710153930041,3.939413869380951,8.21,11.01,29.20775866508484
15,4.011341114433444,3.9049723625183104,8.846,11.45,29.25037431716919
16,3.9869611482230987,3.875482642650604,9.184,11.97,29.26743221282959
17,3.959807953056024,3.858916223049164,9.688,11.76,29.242500066757202
18,3.9277318910676606,3.8217875957489014,9.854,12.39,29.077187538146973
19,3.9006919033673344,3.8049941658973694,10.41,12.6,29.144381523132324
20,3.8843854325158254,3.7688758730888368,10.684,13.28,29.661401987075806
