Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.601340473914633,4.593862724304199,1.27,1.61,29.68680763244629
2,4.589465710581566,4.579931402206421,1.536,2.21,29.55331540107727
3,4.573963359910614,4.558563923835754,2.298,2.85,29.214934825897217
4,4.548736893400854,4.523631978034973,2.782,3.43,29.154934406280518
5,4.510455837055129,4.469733214378357,3.212,3.7,29.266099214553833
6,4.454684734344482,4.3922464609146115,3.692,4.33,29.314643144607544
7,4.382403402912374,4.298777031898498,4.31,6.49,29.20603322982788
8,4.310436078480312,4.2109661340713505,5.134,7.75,29.210919618606567
9,4.243323058498149,4.138701248168945,5.65,8.33,29.187613487243652
10,4.19039925750421,4.080023097991943,6.352,8.73,29.583436489105225
11,4.144323485238211,4.032110428810119,6.802,9.32,29.64275598526001
12,4.1020298393405215,3.99132262468338,7.534,9.98,29.17076802253723
13,4.067097145683912,3.9545750617980957,7.934,10.59,29.191755771636963
14,4.035888720531853,3.925851893424988,8.488,10.65,29.092753171920776
15,4.0101636964447644,3.8948092341423033,8.788,11.71,29.28376340866089
16,3.984191656112671,3.8711835741996765,9.228,11.54,29.157235145568848
17,3.955439307251755,3.8480945825576782,9.77,12.01,29.196423768997192
18,3.9335436018145815,3.8151551485061646,10.046,12.78,29.177762746810913
19,3.909654011531752,3.793265473842621,10.47,12.98,29.281054973602295
20,3.890489493097578,3.7757665514945984,10.882,13.42,29.73216986656189
