Epoch,Test Acc Mean,Test Acc Std
1,14.154,0.5964427885388506
2,19.622000000000003,0.4320370354495089
3,23.781999999999996,0.7300794477315463
4,26.738,0.5163874514354505
5,29.164000000000005,0.9350850228722511
6,31.112000000000002,0.5049910890302911
7,33.384,0.7039488617790368
8,34.53,0.3039078807796866
9,35.518,0.32609201155502093
10,36.40599999999999,0.45508680490649217
11,37.757999999999996,0.7168095981500261
12,39.10600000000001,0.8252175470747101
13,40.14,0.26698314553544217
14,40.664,0.5093368237227713
15,40.833999999999996,0.764711710385031
16,41.53000000000001,0.5003998401278722
17,42.184,0.4827255949294593
18,42.332,0.766508969288684
19,42.76200000000001,0.585402425686809
20,43.550000000000004,0.5007993610219577
