Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.143556190996754,3.6711817502975466,7.654,13.89,31.319830656051636
2,3.519366719284836,3.3303962111473084,16.442,19.6,31.173652172088623
3,3.237880441607261,3.138625478744507,21.048,23.32,31.328596115112305
4,3.032097468570787,2.9185519099235533,24.716,27.54,31.399227142333984
5,2.875139491898673,2.8426976203918457,27.724,29.22,31.10194444656372
6,2.7311670439583913,2.7638225674629213,30.426,31.12,31.47753143310547
7,2.6128921435803782,2.6708600521087646,32.724,32.3,31.389566659927368
8,2.5164247337652714,2.5728042125701904,34.672,34.72,31.225058555603027
9,2.4031248773847307,2.52607204914093,37.022,35.77,31.637746810913086
10,2.3161336183547974,2.527129328250885,39.078,35.69,31.445569038391113
11,2.238637384103269,2.444050407409668,40.562,37.42,31.811402320861816
12,2.174663502342847,2.41012499332428,42.044,37.9,31.444900512695312
13,2.0909955404242693,2.357977879047394,43.918,39.7,31.44166088104248
14,2.024409370762961,2.3257614970207214,45.124,40.19,31.855877161026
15,1.961283492798708,2.3481715440750124,46.666,40.14,31.816518545150757
16,1.891091843040622,2.331254410743713,48.442,40.85,31.83244514465332
17,1.8387227326023334,2.294542133808136,49.252,42.21,31.794220447540283
18,1.775062771476045,2.3685837745666505,50.958,41.01,31.59638237953186
19,1.746213776724679,2.250885820388794,51.678,43.21,32.1556122303009
20,1.6813189046723502,2.269946241378784,53.294,43.08,31.76593279838562
