Epoch,Test Acc Mean,Test Acc Std
1,7.532000000000001,1.3287949427959156
2,15.972,0.5322180004471856
3,20.928000000000004,0.8724769337925219
4,25.012,0.9404977405608158
5,27.458000000000006,0.674963702727784
6,30.062,0.679629310727547
7,32.132000000000005,0.9769012232564773
8,33.884,0.8974318915661513
9,35.684,0.5764234554561426
10,37.07000000000001,0.7851624035828512
11,38.065999999999995,0.36395604130169196
12,39.442,0.662311105146216
13,40.294,0.42235530066520977
14,41.576,0.6087561087989187
15,42.370000000000005,0.6146218349521924
16,42.854,0.3170236584231522
17,43.738,0.40975114398864193
18,44.138,0.3179559717948368
19,44.7,0.5331041174104724
20,44.642,0.5441470389517887
