Epoch,Test Acc Mean,Test Acc Std
1,6.442,0.39776374897670114
2,10.558000000000002,0.2531718783751465
3,12.992,0.28124011093725615
4,15.175999999999998,0.3424967153127166
5,16.6,0.11313708498984751
6,17.928,0.15638414241859724
7,19.038,0.5538736317970014
8,19.972,0.3393169609671759
9,20.916000000000004,0.4059852214059028
10,21.986,0.4213122357587072
11,22.740000000000002,0.24511221919765672
12,23.503999999999998,0.18445595680270124
13,23.868000000000002,0.7302985690797977
14,24.944,0.3366065953008044
15,25.607999999999997,0.5684153411019098
16,25.644,0.7382303163647511
17,26.629999999999995,0.2575266976451177
18,27.262,0.4155670824307431
19,27.560000000000002,0.6949244563260097
20,28.153999999999996,0.4781882474507285
