Epoch,Test Acc Mean,Test Acc Std
1,18.04,1.3367423087491475
2,24.436,0.5043649472356307
3,29.446000000000005,0.5230908142951852
4,32.396,1.2077847490343636
5,35.41799999999999,0.7639999999999991
6,37.956,0.4779790790400757
7,39.662,0.8336761961337277
8,40.54600000000001,0.6877674025424574
9,41.727999999999994,1.3391549574265098
10,43.525999999999996,0.3957575015081841
11,44.336,0.6696446819022762
12,45.37,0.41463236728456127
13,45.546,0.7831372804304491
14,45.86000000000001,0.37565942021996446
15,47.132,0.6504582999701063
16,46.90400000000001,0.3261656021103387
17,47.564,0.7369559009872974
18,47.510000000000005,0.67512961718473
19,47.760000000000005,0.6067618972875606
20,48.348,0.5365594095717638
