Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.2499588898250034,2.171945023536682,18.312,23.2,34.78838300704956
2,2.120887267346285,2.0417553663253782,23.606,27.23,34.81622791290283
3,2.0234199555552737,1.9603914141654968,27.154,30.3,34.90307378768921
4,1.9543032658343413,1.8890547096729278,29.742,33.42,34.74647045135498
5,1.902645090404822,1.843346506357193,31.736,34.57,34.74980401992798
6,1.8528397265745669,1.7850014507770537,33.41,36.31,34.78610682487488
7,1.8043704519466477,1.7333445012569428,35.19,37.91,34.739720821380615
8,1.7591181543408607,1.6726133167743682,36.628,40.1,34.843820571899414
9,1.7146572057081728,1.6687139868736267,38.342,39.6,34.78570318222046
10,1.683908374942079,1.643828958272934,38.878,41.27,34.83099865913391
11,1.6562150631632124,1.60692857503891,40.064,42.43,34.938202142715454
12,1.6263732204631882,1.5681044995784759,40.906,43.31,34.84855055809021
13,1.6064084829116354,1.5260034501552582,41.794,45.32,34.96673560142517
14,1.5823490668316276,1.5187852680683136,42.594,45.18,34.68035125732422
15,1.5708930224788433,1.5095604598522185,43.242,45.61,34.54113483428955
16,1.5544666927687976,1.4650938630104064,43.88,46.66,34.89209747314453
17,1.535362361645212,1.4510053515434265,44.384,47.5,35.12938094139099
18,1.5216734774258671,1.4280467271804809,44.892,48.35,34.85371685028076
19,1.506167853365139,1.4687481999397278,45.598,47.45,34.81165361404419
20,1.4976428443071794,1.4457062602043151,45.966,48.24,34.9567666053772
