Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.20103877174611,3.748426365852356,6.466,12.52,32.55114030838013
2,3.6867538544596457,3.3572179794311525,13.226,19.67,31.88253903388977
3,3.408598289197805,3.0788261771202086,18.152,25.24,31.762449741363525
4,3.2171318385065817,2.927303981781006,21.484,27.9,31.584706783294678
5,3.0695145032843767,2.761135828495026,24.19,31.07,32.52691388130188
6,2.9672937003933653,2.681160402297974,26.098,32.36,33.411492347717285
7,2.8733113395924472,2.6031615853309633,28.08,34.22,32.97989559173584
8,2.801003400160342,2.520760202407837,29.07,35.35,32.26297664642334
9,2.7593629846767502,2.4696707248687746,30.434,36.53,32.12542104721069
10,2.694976339534837,2.4219565272331236,31.358,36.87,32.67149782180786
11,2.6565131216633078,2.416341257095337,32.176,38.13,32.10346984863281
12,2.631449592356779,2.3596843957901,32.904,38.48,32.08236384391785
13,2.586331749448971,2.313432502746582,33.506,40.15,32.24891138076782
14,2.5776572227478027,2.3178060173988344,33.81,39.93,32.31180191040039
15,2.546006229459023,2.2810919284820557,34.282,40.81,32.14763855934143
16,2.518979775662325,2.2571065783500672,34.752,40.59,32.26276612281799
17,2.5109932155025247,2.2214508652687073,34.862,41.58,32.22937560081482
18,2.500164564774961,2.2284670948982237,35.06,41.49,32.035377740859985
19,2.474152681778888,2.2053510665893556,35.636,42.12,32.43386125564575
20,2.4478572631368833,2.1753166913986206,36.528,42.99,32.82764554023743
