Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.8867003528439268,1.523776215314865,31.05,44.56,32.741852045059204
2,1.5625438653692907,1.3751171588897706,42.778,49.68,32.49039149284363
3,1.4182050325432602,1.2120177626609803,48.326,56.98,32.297203540802
4,1.3089769543433676,1.1498301804065705,52.696,58.24,32.30146312713623
5,1.2295614991869246,1.0380564510822297,56.146,62.54,32.03831243515015
6,1.1673088061566255,1.057309764623642,58.356,62.45,31.590055465698242
7,1.137034800587868,0.992693904042244,59.74,65.71,31.580708980560303
8,1.1019427174208116,0.9417419344186783,61.02,66.67,32.12135672569275
9,1.0694110028597774,0.9381460696458817,62.106,67.68,33.75971579551697
10,1.0569706784219157,0.9210413515567779,62.948,67.93,33.8881938457489
11,1.0559709510024713,0.9575073182582855,62.754,66.51,32.5867919921875
12,1.0526724111060708,0.9221671134233475,62.856,67.92,32.502236127853394
13,1.0357985046445106,0.8838379442691803,63.546,69.15,32.29409456253052
14,1.0107765641747688,0.9005470663309098,64.716,68.77,32.495985984802246
15,0.9959373364643175,0.8572301119565964,65.232,69.68,32.30344748497009
16,0.9781478606924718,0.8751752525568008,65.708,69.4,32.69637727737427
17,0.9764595682523689,0.8954622417688369,65.844,69.53,32.320897817611694
18,0.9876031267399691,0.8658336907625198,65.45,70.47,32.465681076049805
19,0.9597883406950503,0.8258176773786545,66.222,71.29,32.5165479183197
20,0.9699045583909872,0.8566737949848175,66.084,70.57,32.62317967414856
