Epoch,Test Acc Mean,Test Acc Std
1,23.560000000000002,1.1698375955661533
2,28.47,1.1250777750893497
3,31.252000000000002,1.2785523063214908
4,33.629999999999995,0.741296162137645
5,35.035999999999994,0.39296819209702
6,36.624,0.631556806629458
7,38.263999999999996,0.4868100245475635
8,39.972,0.7876902944685807
9,40.275999999999996,0.9386927079721046
10,41.92400000000001,0.9546224384540722
11,42.874,0.8137468893949777
12,43.504,0.9532177086059612
13,45.230000000000004,0.8280096617793765
14,44.786,1.843123435909813
15,45.528,0.8732559762177409
16,46.872,0.2663381309538699
17,47.653999999999996,0.3683802383407675
18,47.854,0.4198380640199281
19,48.465999999999994,0.9879797568776383
20,49.10600000000001,0.6888425073991863
