Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.550519787535375,4.382094311714172,2.354,5.02,30.23932981491089
2,4.209527108134056,3.966771388053894,5.982,9.9,29.64091730117798
3,3.957341111436182,3.7554412126541137,9.418,13.57,28.855735063552856
4,3.7848432088384825,3.6315714955329894,12.056,14.7,28.72496509552002
5,3.6623735452184873,3.5060218930244447,13.86,17.56,28.913299560546875
6,3.5608500777458656,3.3990869760513305,15.554,19.34,28.783197164535522
7,3.467376237012902,3.288363444805145,17.372,21.4,28.858535289764404
8,3.3827229908534457,3.217002534866333,18.772,21.98,28.903521060943604
9,3.304244698310385,3.1291216135025026,20.058,24.2,28.972357273101807
10,3.2466088825342605,3.068472385406494,20.952,25.43,29.986698627471924
11,3.18920065675463,3.002180981636047,22.372,26.57,29.700177431106567
12,3.132646752863514,2.9381319880485535,23.088,28.06,28.790571689605713
13,3.0949598988708185,2.9380096077919005,23.84,27.98,28.750465393066406
14,3.043455515589033,2.8809853315353395,25.022,28.69,29.07590103149414
15,3.0067900905803757,2.8218969464302064,25.71,30.1,28.91708517074585
16,2.95746627145884,2.7377742767333983,26.496,31.71,28.81153702735901
17,2.9150898067318662,2.6849167108535767,27.26,32.83,28.88935947418213
18,2.871217425988645,2.6348270654678343,28.226,34.04,28.896124124526978
19,2.8218824133581046,2.5847681760787964,29.266,34.08,29.103290796279907
20,2.790982180712174,2.536473822593689,29.884,35.76,29.448060274124146
