Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.6023334386397385,4.595331358909607,1.194,1.69,29.900559186935425
2,4.590868215171659,4.582676339149475,1.83,2.16,29.829366445541382
3,4.576435123171125,4.563888216018677,2.272,3.15,29.338664770126343
4,4.554830380848476,4.53594937324524,2.842,3.21,29.540395259857178
5,4.524067868991774,4.495093297958374,3.07,3.84,29.165059804916382
6,4.483631649795844,4.440048956871033,3.788,4.64,29.058984756469727
7,4.427257299423218,4.36719765663147,4.446,6.2,28.9958758354187
8,4.35954119234669,4.282705307006836,5.082,6.86,29.059824466705322
9,4.288735637859422,4.198218560218811,5.678,7.17,29.95983624458313
10,4.22869966954601,4.132056427001953,6.174,7.7,30.810848236083984
11,4.1725283690861295,4.078659248352051,6.796,8.54,30.453166723251343
12,4.13133031981332,4.031557154655457,7.298,9.19,29.57754874229431
13,4.09847353915779,3.9908153891563414,7.502,10.02,29.369890213012695
14,4.061375009770296,3.9592117190361025,8.082,10.4,29.61433506011963
15,4.0349845351005085,3.925009024143219,8.648,10.96,29.515501499176025
16,4.009086745125907,3.8976055145263673,9.178,11.73,29.430848121643066
17,3.978761317778607,3.8695157408714294,9.438,12.06,29.470369577407837
18,3.9488265952285455,3.8387725949287415,10.184,12.56,29.58998417854309
19,3.9219881661084233,3.8116653323173524,10.348,12.82,29.415374755859375
20,3.896397972593502,3.7774335741996765,10.662,13.83,30.237494468688965
