Epoch,Test Acc Mean,Test Acc Std
1,11.578,0.3267659713005621
2,17.041999999999998,0.30055947830670665
3,21.077999999999996,0.471567598547653
4,23.8,0.6134166610062035
5,25.546,0.622947830881528
6,27.417999999999996,0.44341402774382266
7,29.189999999999998,0.5566686626710733
8,30.125999999999998,0.7201833099982263
9,30.762,0.57631241527491
10,31.24,0.9093074287610317
11,31.857999999999997,0.6670052473556719
12,32.658,0.47190677045365537
13,32.932,0.27065845636151725
14,33.698,0.5360000000000005
15,33.562,0.5712932696960458
16,34.08800000000001,0.9512391917914238
17,34.122,0.6749340708543333
18,34.386,0.2708948135347004
19,34.79,0.5433599175500541
20,34.682,0.6201419192410719
