Epoch,Test Acc Mean,Test Acc Std
1,44.038000000000004,1.4641912443393443
2,51.2,1.323193107599945
3,54.75600000000001,0.9193171378800682
4,57.9,1.1046266337545911
5,60.117999999999995,0.8959776782933825
6,62.138,0.7074291483957962
7,63.074,1.548749172719713
8,64.48800000000001,0.8705492519093909
9,65.856,0.6826302073597373
10,65.796,0.770469986436849
11,67.00800000000001,0.4589291884376056
12,67.68800000000002,0.48080765384922713
13,67.946,0.634274388573272
14,68.752,0.5080708611995005
15,68.488,0.586290030616249
16,69.288,0.5190529838080086
17,68.924,0.6731002897042937
18,69.412,0.6688019138728601
19,69.696,0.6126532461351992
20,70.30999999999999,0.45015552867870223
