Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,1.9169788178132505,1.535669392347336,30.2,43.07,32.81673240661621
2,1.5709945328381596,1.373297208547592,42.564,50.81,32.45606255531311
3,1.455825006475254,1.2640584290027619,46.932,53.93,32.32854390144348
4,1.3797881676226247,1.1896869599819184,49.948,56.4,32.19591784477234
5,1.3034948937746944,1.1418780863285065,52.68,59.0,31.8318829536438
6,1.2580345309510523,1.0953450620174408,54.612,61.01,31.738373517990112
7,1.2037222701676038,1.0879307746887208,56.576,60.96,31.77473735809326
8,1.1750434053187468,1.010827475786209,57.928,64.25,33.07526898384094
9,1.1400659874993928,0.9655144780874252,59.438,66.3,33.68651795387268
10,1.1055784632965011,0.965749540925026,60.952,66.22,33.647188901901245
11,1.073485133599262,0.9118663609027863,62.012,67.57,32.62121820449829
12,1.0559311600363985,0.9253041118383407,62.584,67.62,32.5186288356781
13,1.0472802008901323,0.9135834246873855,63.04,67.22,32.38407278060913
14,1.0383324647436336,0.8887664914131165,63.418,68.5,32.5068724155426
15,1.0388185673830461,0.9263872772455215,63.492,67.63,32.48738098144531
16,1.0287495596068246,0.8763568460941314,63.846,69.25,32.40619468688965
17,1.0140881775593271,0.8998447030782699,64.192,67.74,32.51365351676941
18,0.9900278199692162,0.8594823807477951,65.37,69.81,32.46609425544739
19,0.9958603260468464,0.8647076100111007,65.036,69.73,32.50612282752991
20,0.9968719975072511,0.8712116122245789,65.03,69.96,32.71775770187378
