Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.169532019264844,3.699400448799133,6.864,13.82,33.095463037490845
2,3.6615105648430024,3.3325900554656984,13.81,20.35,32.77657127380371
3,3.4247270189985937,3.146337831020355,17.834,24.0,32.688173055648804
4,3.2757794857025146,3.0282743692398073,20.56,26.08,31.939432859420776
5,3.1569844630299784,2.886535274982452,22.676,29.3,32.00640630722046
6,3.073121900461158,2.8093383431434633,24.218,30.32,31.89508032798767
7,2.9924195469642174,2.719839870929718,25.76,32.15,32.117202043533325
8,2.9330133126706492,2.6521950125694276,27.066,32.94,32.03052830696106
9,2.88240693296705,2.6324583530426025,27.94,33.3,31.944024324417114
10,2.8155332584770356,2.5233106136322023,29.046,35.1,32.4939227104187
11,2.771315581944524,2.5126194834709166,29.83,35.99,32.0809211730957
12,2.7334971184633217,2.4679492712020874,30.544,36.1,31.89614725112915
13,2.694294871116171,2.4108187913894654,31.362,37.97,31.97329592704773
14,2.6696795225143433,2.3912460565567017,31.96,38.53,31.916786909103394
15,2.6404570754693477,2.3649401545524595,32.616,39.12,31.92627263069153
16,2.624529330097899,2.3635748982429505,32.66,39.03,32.104358196258545
17,2.589148117571461,2.340662693977356,33.678,39.24,32.820178747177124
18,2.5746031367048925,2.306264591217041,33.832,40.37,31.750093936920166
19,2.561246475394891,2.2977497935295106,34.034,40.77,31.44215726852417
20,2.535282010934791,2.284219002723694,34.646,40.64,32.04022836685181
