Epoch,Test Acc Mean,Test Acc Std
1,14.144,0.2853489092321887
2,20.34,0.6297936169889302
3,24.294,0.3482872377793934
4,26.676,0.4597651574445367
5,28.637999999999998,0.24911041728518757
6,30.645999999999997,0.5040872940275327
7,32.268,0.7009821681041521
8,33.534,0.5118827990858823
9,34.43599999999999,0.555071166608392
10,35.398,0.7204831712122071
11,36.146,0.572244702902526
12,36.75599999999999,0.4148541912527813
13,37.262,0.5586555289263674
14,37.896,0.5106309822170998
15,37.809999999999995,0.5715592707672572
16,38.535999999999994,0.44920373996661916
17,38.906,0.3961110955275036
18,39.666,0.4377030957167189
19,40.08,0.5716642371182591
20,40.19199999999999,0.6023088908525256
